FCR,Dec-06,Jun-07,Dec-07
Investimento efectuado (2) (a),69275,65602,87421
Desinvestimento (3) (b),17551,42826,56919
Liquido (a-b),51724,22776,30502
Volume de transaccoes (a+b),86826,108428,144340
