,Trs(1) Dec-06,Pr. Venda(2) Dec-06,(3)% Dec-06,Trs(1) Jun-07,Pr. Venda(2) Jun-07,(3)% Jun-07,Trs(1) Dec-07,Pr. Venda(2) Dec-07,(3)% Dec-07
Venda a terceiros,2,5454,31.08%,4,15357,35.86%,9,48172,84.63%
Recompra (pela equipa de gestao ou accionistas),16,6619,37.71%,10,1758,4.11%,14,7447,13.08%
Nao definida,1,17,0.10%,2,316,0.74%,6,1175,2.06%
Outras,2,2675,15.24%,,,0.00%,,,0.00%
Contrato de venda a prazo,3,2726,15.53%,1,25394,59.30%,1,125,0.22%
Write off,4,60,0.34%,2,0,0.00%,,,0.00%
IPO,,,0.00%,,,0.00%,,,0.00%
Total,28,17551,100.00%,19,42825,100.00%,30,56919,100.00%
