FCR,Dec-06,Jun-07,Dec-07
Credito em mora (1),1153,350,869
Credito em contencioso (1),1530,1629,1629
Creditos irrecuperaveis (1),268,,
Incumprimento dos creditos (2),2.03%,1.36%,1.33%
