SCR ,Dec-06,Jun-07,Dec-07
Participacoes cotadas,7564,7283,8151
Participacoes nao cotadas,9842,19128,12093
UP de FCR,,,
Outros financiamentos,1103,1103,1103
Total,18509,27514,21347
