,Trs(1) Dec-06,Pr. Venda(2) Dec-06,(3)% Dec-06,Trs(1) Jun-07,Pr. Venda(2) Jun-07,(3)% Jun-07,Trs(1) Dec-07,Pr. Venda(2) Dec-07,(3)% Dec-07
Venda a terceiros,8,7815.19,32.43%,13,63528.71,63.69%,21,71343.91,57.61%
Contrato de venda a prazo,5,5967.46,24.76%,2,25519.21,25.58%,7,31486.66,25.42%
Recompra (pela equipa de gestao ou accionistas),3,10021.42,41.58%,24,9205.25,9.23%,27,19226.67,15.52%
Nao definida,5,295.15,1.22%,8,1491.31,1.50%,13,1786.45,1.44%
Write off,,,0.00%,2,0,0.00%,2,0,0.00%
IPO,,,0.00%,,,0.00%,,,0.00%
Total,21,24099.22,100.00%,49,99744.48,100.00%,70,123843.69,100.00%
