SCR,Dec-06,Jun-07,Dec-07
Investimento efectuado (2)(a),17987,23346,18899
Desinvestimento (3)(b),3043,3505,20594
Liquido (a-b),14944,19841,-1695
Volume de transaccoes (a+b),21030,26851,39493
