,SCR,FCR,Total
N. de Participacoes (1),155,326,481
Participacoes em capital social,166943,595.948,167538.948
Outros financiamentos,101889,408285,510174
 Investimento em UP de FCR,14495,187664,202159
 Investimento em UP de FCR,50559,0,50559
Depositos e outros activos afectos a CR (2),79570,351806,431376
Montante sob gestao (2),246514,,246514
VLGF (2),,1278857,1278857
